"User ID","Monthly Revenue"
332,14
340,14
347,14
348,14
349,14
353,14
364,14
375,14
378,14
386,14
389,14
394,14
396,14
400,14
402,14
409,14
411,14
414,14
417,14
418,14
421,14
422,14
429,14
430,14
446,14
448,14
450,14
456,14
457,14
474,14
476,14
483,14
485,14
494,14
501,14
503,14
506,14
514,14
516,14
522,14
525,14
530,14
531,14
533,14
538,14
542,14
544,14
545,14
553,14
556,14
558,14
561,14
562,14
564,14
567,14
574,14
580,14
584,14
585,14
587,14
591,14
596,14
600,14
601,14
602,14
606,14
607,14
609,14
616,14
621,14
631,14
649,14
652,14
656,14
657,14
661,14
672,14
686,14
693,14
694,14
702,14
703,14
711,14
718,14
724,14
726,14
728,14
734,14
735,14
738,14
740,14
741,14
751,14
756,14
759,14
769,14
771,14
781,14
784,14
790,14
803,14
804,14
819,14
832,14
834,14
842,14
853,14
858,14
861,14
862,14
872,14
875,14
891,14
897,14
900,14
909,14
917,14
920,14
921,14
924,14
938,14
946,14
949,14
957,14
959,14
972,14
993,14
995,14
997,14
1004,14
1009,14
1019,14
1035,14
1036,14
1042,14
1049,14
1052,14
1057,14
1067,14
1078,14
1089,14
1090,14
1103,14
1106,14
1115,14
1126,14
1129,14
1130,14
1131,14
1136,14
1139,14
1144,14
1156,14
1157,14
1171,14
1179,14
1180,14
1182,14
1185,14
1187,14
1193,14
1197,14
1210,14
1241,14
1242,14
1243,14
1245,14
1249,14
1254,14
1257,14
1263,14
1267,14
1279,14
1280,14
1297,14
1298,14
1299,14
1301,14
1303,14
1319,14
1330,14
1333,14
1338,14
1340,14
1341,14
1349,14
1364,14
1368,14
1371,14
1374,14
1376,14
1378,14
1386,14
1391,14
1396,14
1397,14
1400,14
1403,14
1404,14
1407,14
1408,14
1410,14
1411,14
1424,14
1436,14
1439,14
1448,14
1449,14
1453,14
1456,14
1458,14
1460,14
1465,14
1472,14
1473,14
1481,14
1483,14
1486,14
1500,14
1502,14
1519,14
1525,14
1534,14
1539,14
1544,14
1551,14
1554,14
1557,14
1561,14
1568,14
1582,14
1591,14
1593,14
1601,14
1609,14
1610,14
1619,14
1629,14
1631,14
1632,14
1634,14
1644,14
1650,14
1651,14
1654,14
1659,14
1677,14
1679,14
1688,14
1695,14
1705,14
1711,14
1714,14
1715,14
1726,14
1734,14
1745,14
1746,14
1751,14
1763,14
1768,14
1769,14
1789,14
1791,14
1793,14
1795,14
1797,14
1799,14
1800,14
1810,14
1816,14
1820,14
1828,14
1831,14
1840,14
1842,14
1844,14
1852,14
1854,14
1868,14
1870,14
1873,14
1874,14
1875,14
1883,14
1885,14
1896,14
1899,14
1900,14
1917,14
1921,14
1931,14
1933,14
1937,14
1942,14
1943,14
1945,14
1952,14
1959,14
1961,14
1970,14
1972,14
1982,14
1992,14
1997,14
1998,14
2030,14
2031,14
2049,14
2053,14
2055,14
2059,14
2062,14
2068,14
2074,14
2075,14
2100,14
2102,14
2103,14
2107,14
2110,14
2111,14
2119,14
2120,14
2121,14
2124,14
2125,14
2129,14
2139,14
2140,14
2141,14
2144,14
2145,14
2149,14
2152,14
2168,14
2172,14
2174,14
2180,14
2182,14
2185,14
2194,14
2195,14
2199,14
2200,14
2202,14
2203,14
2212,14
2221,14
2233,14
2238,14
2250,14
2263,14
2270,14
2271,14
2277,14
2281,14
2294,14
2299,14
2303,14
2304,14
2307,14
2311,14
2316,14
2317,14
2320,14
2336,14
2351,14
2361,14
2368,14
2373,14
2377,14
2384,14
2385,14
2388,14
2392,14
2399,14
2409,14
2415,14
2416,14
2419,14
2422,14
2424,14
2435,14
2436,14
2440,14
2445,14
2447,14
2452,14
2468,14
2472,14
2485,14
2492,14
2496,14
