"gender","race_ethnicity","parental_level_of_education","lunch","test_preparation_course","math_score","reading_score","writing_score","total_score","average_score","avg_math_score","avg_reading_score","avg_writing_score"
1,group B,some college,0,0,60,60,60,180,60.0,66.0890,69.1690,68.0540
1,group D,associate's degree,0,0,66,62,64,192,64.0,66.0890,69.1690,68.0540
1,group B,master's degree,0,0,49,53,52,154,51.333333333333336,66.0890,69.1690,68.0540
1,group C,high school,1,0,52,53,49,154,51.333333333333336,66.0890,69.1690,68.0540
1,group C,high school,0,1,53,51,51,155,51.666666666666664,66.0890,69.1690,68.0540
0,group C,bachelor's degree,0,1,43,51,54,148,49.333333333333336,66.0890,69.1690,68.0540
0,group B,high school,0,1,46,54,58,158,52.666666666666664,66.0890,69.1690,68.0540
0,group C,some college,0,0,46,64,66,176,58.666666666666664,66.0890,69.1690,68.0540
0,group E,high school,1,0,50,50,47,147,49.0,66.0890,69.1690,68.0540
1,group C,some high school,0,1,45,52,49,146,48.666666666666664,66.0890,69.1690,68.0540
1,group C,associate's degree,0,1,65,67,65,197,65.66666666666667,66.0890,69.1690,68.0540
1,group D,some high school,1,1,62,66,68,196,65.33333333333333,66.0890,69.1690,68.0540
1,group B,some high school,0,0,48,52,45,145,48.333333333333336,66.0890,69.1690,68.0540
0,group B,some high school,1,0,62,64,66,192,64.0,66.0890,69.1690,68.0540
1,group D,associate's degree,1,0,61,55,52,168,56.0,66.0890,69.1690,68.0540
1,group C,some high school,0,1,59,69,65,193,64.33333333333333,66.0890,69.1690,68.0540
1,group E,high school,0,0,55,56,51,162,54.0,66.0890,69.1690,68.0540
0,group B,some college,0,0,45,53,55,153,51.0,66.0890,69.1690,68.0540
0,group B,associate's degree,1,0,57,69,68,194,64.66666666666667,66.0890,69.1690,68.0540
1,group C,some college,1,0,59,41,42,142,47.333333333333336,66.0890,69.1690,68.0540
0,group B,some college,0,0,58,61,66,185,61.666666666666664,66.0890,69.1690,68.0540
1,group C,some college,0,0,35,28,27,90,30.0,66.0890,69.1690,68.0540
0,group C,high school,0,0,42,62,60,164,54.666666666666664,66.0890,69.1690,68.0540
1,group C,associate's degree,0,1,60,51,56,167,55.666666666666664,66.0890,69.1690,68.0540
0,group C,high school,0,0,34,42,39,115,38.333333333333336,66.0890,69.1690,68.0540
1,group B,some high school,1,1,61,56,56,173,57.666666666666664,66.0890,69.1690,68.0540
0,group C,some high school,0,0,55,65,62,182,60.666666666666664,66.0890,69.1690,68.0540
0,group E,master's degree,0,0,45,56,54,155,51.666666666666664,66.0890,69.1690,68.0540
1,group D,high school,1,0,57,50,54,161,53.666666666666664,66.0890,69.1690,68.0540
1,group C,associate's degree,1,0,46,43,42,131,43.666666666666664,66.0890,69.1690,68.0540
1,group D,bachelor's degree,0,0,63,66,67,196,65.33333333333333,66.0890,69.1690,68.0540
1,group B,some college,1,0,54,52,51,157,52.333333333333336,66.0890,69.1690,68.0540
0,group D,high school,1,0,56,52,55,163,54.333333333333336,66.0890,69.1690,68.0540
1,group E,some college,1,0,59,51,43,153,51.0,66.0890,69.1690,68.0540
0,group B,high school,1,0,65,64,62,191,63.666666666666664,66.0890,69.1690,68.0540
1,group A,some high school,1,1,47,49,49,145,48.333333333333336,66.0890,69.1690,68.0540
1,group D,high school,1,0,54,52,52,158,52.666666666666664,66.0890,69.1690,68.0540
0,group C,some high school,0,0,44,50,51,145,48.333333333333336,66.0890,69.1690,68.0540
1,group D,some high school,0,0,59,42,41,142,47.333333333333336,66.0890,69.1690,68.0540
1,group C,some college,1,0,58,49,42,149,49.666666666666664,66.0890,69.1690,68.0540
0,group D,associate's degree,0,0,47,53,58,158,52.666666666666664,66.0890,69.1690,68.0540
1,group D,high school,1,0,53,52,42,147,49.0,66.0890,69.1690,68.0540
1,group D,high school,1,0,45,48,46,139,46.333333333333336,66.0890,69.1690,68.0540
0,group B,some high school,1,0,37,46,46,129,43.0,66.0890,69.1690,68.0540
1,group C,some high school,1,1,63,60,57,180,60.0,66.0890,69.1690,68.0540
1,group A,some high school,1,1,46,41,43,130,43.333333333333336,66.0890,69.1690,68.0540
1,group C,high school,0,1,40,46,50,136,45.333333333333336,66.0890,69.1690,68.0540
1,group D,some high school,0,0,56,54,52,162,54.0,66.0890,69.1690,68.0540
1,group C,some high school,1,0,51,52,44,147,49.0,66.0890,69.1690,68.0540
0,group D,high school,0,0,49,57,52,158,52.666666666666664,66.0890,69.1690,68.0540
1,group B,bachelor's degree,1,0,66,60,57,183,61.0,66.0890,69.1690,68.0540
0,group D,associate's degree,0,0,56,65,63,184,61.333333333333336,66.0890,69.1690,68.0540
0,group C,some high school,0,0,43,53,53,149,49.666666666666664,66.0890,69.1690,68.0540
0,group C,high school,0,0,41,46,43,130,43.333333333333336,66.0890,69.1690,68.0540
1,group C,some college,1,0,61,61,62,184,61.333333333333336,66.0890,69.1690,68.0540
1,group A,some college,0,0,28,23,19,70,23.333333333333332,66.0890,69.1690,68.0540
0,group B,some high school,1,0,41,55,51,147,49.0,66.0890,69.1690,68.0540
1,group C,associate's degree,1,0,47,37,35,119,39.666666666666664,66.0890,69.1690,68.0540
1,group E,associate's degree,1,1,62,56,53,171,57.0,66.0890,69.1690,68.0540
0,group B,some college,0,0,61,68,66,195,65.0,66.0890,69.1690,68.0540
1,group C,associate's degree,1,0,49,51,43,143,47.666666666666664,66.0890,69.1690,68.0540
0,group B,some high school,0,0,24,38,27,89,29.666666666666668,66.0890,69.1690,68.0540
0,group D,some high school,0,1,35,55,60,150,50.0,66.0890,69.1690,68.0540
1,group C,high school,0,0,58,61,52,171,57.0,66.0890,69.1690,68.0540
1,group B,some college,1,0,62,61,57,180,60.0,66.0890,69.1690,68.0540
1,group E,some college,1,0,66,57,52,175,58.333333333333336,66.0890,69.1690,68.0540
0,group C,associate's degree,1,0,46,58,57,161,53.666666666666664,66.0890,69.1690,68.0540
1,group A,associate's degree,1,0,63,61,61,185,61.666666666666664,66.0890,69.1690,68.0540
1,group D,some college,0,0,59,62,61,182,60.666666666666664,66.0890,69.1690,68.0540
0,group B,high school,1,0,58,62,59,179,59.666666666666664,66.0890,69.1690,68.0540
0,group C,some college,1,0,52,58,58,168,56.0,66.0890,69.1690,68.0540
0,group D,some high school,0,0,27,34,32,93,31.0,66.0890,69.1690,68.0540
1,group C,some college,1,0,59,60,58,177,59.0,66.0890,69.1690,68.0540
1,group A,bachelor's degree,0,1,49,58,60,167,55.666666666666664,66.0890,69.1690,68.0540
1,group C,bachelor's degree,0,0,61,66,61,188,62.666666666666664,66.0890,69.1690,68.0540
0,group A,some high school,0,0,44,64,58,166,55.333333333333336,66.0890,69.1690,68.0540
1,group E,associate's degree,0,0,46,43,41,130,43.333333333333336,66.0890,69.1690,68.0540
1,group A,bachelor's degree,1,0,66,64,62,192,64.0,66.0890,69.1690,68.0540
0,group E,some high school,0,0,38,49,45,132,44.0,66.0890,69.1690,68.0540
0,group A,some high school,0,0,38,43,43,124,41.333333333333336,66.0890,69.1690,68.0540
0,group D,high school,1,0,62,64,64,190,63.333333333333336,66.0890,69.1690,68.0540
1,group C,associate's degree,1,1,57,54,56,167,55.666666666666664,66.0890,69.1690,68.0540
1,group A,high school,0,0,48,45,41,134,44.666666666666664,66.0890,69.1690,68.0540
0,group B,high school,0,0,50,67,63,180,60.0,66.0890,69.1690,68.0540
1,group D,some high school,1,0,60,59,54,173,57.666666666666664,66.0890,69.1690,68.0540
0,group C,some high school,1,1,59,54,67,180,60.0,66.0890,69.1690,68.0540
1,group A,some college,1,0,53,43,43,139,46.333333333333336,66.0890,69.1690,68.0540
0,group A,some college,0,0,49,65,55,169,56.333333333333336,66.0890,69.1690,68.0540
0,group C,high school,1,0,54,59,62,175,58.333333333333336,66.0890,69.1690,68.0540
1,group B,associate's degree,1,1,65,65,63,193,64.33333333333333,66.0890,69.1690,68.0540
0,group D,high school,0,1,52,57,56,165,55.0,66.0890,69.1690,68.0540
1,group B,some high school,1,1,63,67,67,197,65.66666666666667,66.0890,69.1690,68.0540
1,group E,high school,0,1,57,56,54,167,55.666666666666664,66.0890,69.1690,68.0540
0,group D,high school,1,1,57,58,64,179,59.666666666666664,66.0890,69.1690,68.0540
0,group D,master's degree,0,1,47,58,67,172,57.333333333333336,66.0890,69.1690,68.0540
1,group B,some college,0,0,41,39,34,114,38.0,66.0890,69.1690,68.0540
0,group C,some college,0,0,62,67,62,191,63.666666666666664,66.0890,69.1690,68.0540
1,group A,some high school,0,0,65,59,53,177,59.0,66.0890,69.1690,68.0540
1,group C,associate's degree,0,0,64,66,59,189,63.0,66.0890,69.1690,68.0540
1,group C,high school,1,0,61,56,55,172,57.333333333333336,66.0890,69.1690,68.0540
0,group A,some high school,0,0,47,59,50,156,52.0,66.0890,69.1690,68.0540
1,group C,some college,0,1,50,48,53,151,50.333333333333336,66.0890,69.1690,68.0540
1,group B,high school,1,0,47,46,42,135,45.0,66.0890,69.1690,68.0540
1,group C,some college,0,0,65,58,49,172,57.333333333333336,66.0890,69.1690,68.0540
0,group C,associate's degree,0,0,53,61,62,176,58.666666666666664,66.0890,69.1690,68.0540
1,group C,bachelor's degree,0,0,37,56,47,140,46.666666666666664,66.0890,69.1690,68.0540
1,group D,associate's degree,0,0,53,54,48,155,51.666666666666664,66.0890,69.1690,68.0540
1,group C,bachelor's degree,0,0,53,58,55,166,55.333333333333336,66.0890,69.1690,68.0540
1,group B,some college,0,0,54,54,45,153,51.0,66.0890,69.1690,68.0540
0,group D,associate's degree,0,0,26,31,38,95,31.666666666666668,66.0890,69.1690,68.0540
0,group D,some high school,1,0,59,67,61,187,62.333333333333336,66.0890,69.1690,68.0540
0,group D,associate's degree,0,0,52,59,56,167,55.666666666666664,66.0890,69.1690,68.0540
1,group A,high school,1,0,59,52,46,157,52.333333333333336,66.0890,69.1690,68.0540
0,group B,associate's degree,1,0,49,52,54,155,51.666666666666664,66.0890,69.1690,68.0540
1,group D,some college,0,0,61,47,56,164,54.666666666666664,66.0890,69.1690,68.0540
1,group B,some high school,1,1,64,53,57,174,58.0,66.0890,69.1690,68.0540
0,group B,high school,1,0,54,64,68,186,62.0,66.0890,69.1690,68.0540
0,group C,some college,1,0,54,48,52,154,51.333333333333336,66.0890,69.1690,68.0540
0,group B,some high school,1,0,66,69,68,203,67.66666666666667,66.0890,69.1690,68.0540
1,group C,some college,0,0,63,61,54,178,59.333333333333336,66.0890,69.1690,68.0540
0,group D,master's degree,0,0,40,59,54,153,51.0,66.0890,69.1690,68.0540
1,group B,bachelor's degree,0,0,55,59,54,168,56.0,66.0890,69.1690,68.0540
1,group A,some high school,1,0,64,50,43,157,52.333333333333336,66.0890,69.1690,68.0540
1,group D,some high school,0,0,62,49,52,163,54.333333333333336,66.0890,69.1690,68.0540
0,group B,some high school,1,1,54,61,62,177,59.0,66.0890,69.1690,68.0540
1,group C,master's degree,0,0,54,59,50,163,54.333333333333336,66.0890,69.1690,68.0540
1,group C,high school,1,1,53,52,49,154,51.333333333333336,66.0890,69.1690,68.0540
1,group C,some high school,0,1,56,61,60,177,59.0,66.0890,69.1690,68.0540
0,group C,high school,0,0,36,53,43,132,44.0,66.0890,69.1690,68.0540
0,group D,bachelor's degree,0,0,29,41,47,117,39.0,66.0890,69.1690,68.0540
0,group C,some high school,1,0,47,54,53,154,51.333333333333336,66.0890,69.1690,68.0540
1,group E,associate's degree,1,1,62,61,58,181,60.333333333333336,66.0890,69.1690,68.0540
1,group C,associate's degree,1,1,51,60,58,169,56.333333333333336,66.0890,69.1690,68.0540
0,group D,high school,1,0,51,66,62,179,59.666666666666664,66.0890,69.1690,68.0540
0,group D,master's degree,1,0,64,63,66,193,64.33333333333333,66.0890,69.1690,68.0540
0,group C,high school,0,0,62,67,64,193,64.33333333333333,66.0890,69.1690,68.0540
0,group B,associate's degree,1,0,40,48,50,138,46.0,66.0890,69.1690,68.0540
1,group E,associate's degree,1,0,53,45,40,138,46.0,66.0890,69.1690,68.0540
0,group C,some college,0,0,32,39,33,104,34.666666666666664,66.0890,69.1690,68.0540
1,group C,master's degree,0,0,61,67,66,194,64.66666666666667,66.0890,69.1690,68.0540
1,group B,bachelor's degree,0,0,48,51,46,145,48.333333333333336,66.0890,69.1690,68.0540
1,group B,associate's degree,1,0,48,43,45,136,45.333333333333336,66.0890,69.1690,68.0540
1,group B,high school,0,0,63,48,47,158,52.666666666666664,66.0890,69.1690,68.0540
0,group C,some college,1,0,53,62,56,171,57.0,66.0890,69.1690,68.0540
0,group C,high school,0,1,50,66,64,180,60.0,66.0890,69.1690,68.0540
1,group A,associate's degree,0,1,40,55,53,148,49.333333333333336,66.0890,69.1690,68.0540
1,group A,some college,1,1,61,51,52,164,54.666666666666664,66.0890,69.1690,68.0540
0,group B,some college,0,1,48,56,58,162,54.0,66.0890,69.1690,68.0540
0,group D,master's degree,1,0,53,61,68,182,60.666666666666664,66.0890,69.1690,68.0540
0,group C,bachelor's degree,0,0,44,63,62,169,56.333333333333336,66.0890,69.1690,68.0540
0,group C,some college,1,0,54,64,65,183,61.0,66.0890,69.1690,68.0540
0,group A,some high school,1,0,48,66,65,179,59.666666666666664,66.0890,69.1690,68.0540
1,group C,some college,0,0,58,57,54,169,56.333333333333336,66.0890,69.1690,68.0540
1,group B,high school,0,0,30,24,15,69,23.0,66.0890,69.1690,68.0540
1,group A,some high school,1,0,53,54,48,155,51.666666666666664,66.0890,69.1690,68.0540
0,group D,master's degree,1,0,54,60,63,177,59.0,66.0890,69.1690,68.0540
0,group C,high school,1,0,29,29,30,88,29.333333333333332,66.0890,69.1690,68.0540
1,group D,high school,0,0,60,57,51,168,56.0,66.0890,69.1690,68.0540
0,group C,master's degree,0,0,40,58,54,152,50.666666666666664,66.0890,69.1690,68.0540
0,group E,some college,1,0,61,64,62,187,62.333333333333336,66.0890,69.1690,68.0540
0,group B,associate's degree,1,0,58,63,65,186,62.0,66.0890,69.1690,68.0540
0,group C,some college,1,0,58,59,66,183,61.0,66.0890,69.1690,68.0540
0,group E,bachelor's degree,1,0,37,45,38,120,40.0,66.0890,69.1690,68.0540
0,group C,high school,0,0,35,61,54,150,50.0,66.0890,69.1690,68.0540
1,group B,bachelor's degree,0,0,62,63,56,181,60.333333333333336,66.0890,69.1690,68.0540
1,group C,high school,0,1,58,51,52,161,53.666666666666664,66.0890,69.1690,68.0540
0,group E,bachelor's degree,0,0,61,58,62,181,60.333333333333336,66.0890,69.1690,68.0540
1,group D,associate's degree,1,0,61,48,46,155,51.666666666666664,66.0890,69.1690,68.0540
1,group D,some college,0,0,49,57,46,152,50.666666666666664,66.0890,69.1690,68.0540
0,group C,some high school,1,1,44,51,55,150,50.0,66.0890,69.1690,68.0540
1,group D,high school,1,0,41,52,51,144,48.0,66.0890,69.1690,68.0540
0,group E,high school,0,0,64,62,68,194,64.66666666666667,66.0890,69.1690,68.0540
0,group B,high school,1,0,50,53,55,158,52.666666666666664,66.0890,69.1690,68.0540
1,group C,some high school,0,1,51,56,53,160,53.333333333333336,66.0890,69.1690,68.0540
0,group B,some college,1,0,62,67,67,196,65.33333333333333,66.0890,69.1690,68.0540
0,group D,associate's degree,0,0,43,60,58,161,53.666666666666664,66.0890,69.1690,68.0540
0,group C,high school,1,0,65,69,67,201,67.0,66.0890,69.1690,68.0540
0,group C,some high school,0,1,50,60,60,170,56.666666666666664,66.0890,69.1690,68.0540
1,group D,associate's degree,0,0,52,57,50,159,53.0,66.0890,69.1690,68.0540
0,group B,some college,1,1,50,64,66,180,60.0,66.0890,69.1690,68.0540
1,group D,some college,0,0,63,61,60,184,61.333333333333336,66.0890,69.1690,68.0540
1,group B,high school,1,0,60,68,60,188,62.666666666666664,66.0890,69.1690,68.0540
1,group B,high school,1,0,62,55,54,171,57.0,66.0890,69.1690,68.0540
0,group C,some high school,0,1,29,40,44,113,37.666666666666664,66.0890,69.1690,68.0540
1,group B,some college,1,1,62,66,68,196,65.33333333333333,66.0890,69.1690,68.0540
1,group A,high school,0,0,53,58,44,155,51.666666666666664,66.0890,69.1690,68.0540
0,group C,associate's degree,1,0,49,53,53,155,51.666666666666664,66.0890,69.1690,68.0540
0,group C,some high school,1,0,49,63,56,168,56.0,66.0890,69.1690,68.0540
1,group C,high school,0,0,66,66,59,191,63.666666666666664,66.0890,69.1690,68.0540
0,group D,some college,1,0,63,64,67,194,64.66666666666667,66.0890,69.1690,68.0540
0,group B,some high school,0,1,59,63,64,186,62.0,66.0890,69.1690,68.0540
1,group D,high school,1,0,46,34,36,116,38.666666666666664,66.0890,69.1690,68.0540
1,group C,some college,1,0,66,59,52,177,59.0,66.0890,69.1690,68.0540
0,group D,associate's degree,0,1,42,61,58,161,53.666666666666664,66.0890,69.1690,68.0540
1,group D,some high school,0,1,55,59,59,173,57.666666666666664,66.0890,69.1690,68.0540
1,group C,high school,1,0,50,48,42,140,46.666666666666664,66.0890,69.1690,68.0540
1,group B,some college,1,0,47,43,41,131,43.666666666666664,66.0890,69.1690,68.0540
1,group C,some college,1,0,53,39,37,129,43.0,66.0890,69.1690,68.0540
1,group A,some high school,0,0,55,46,43,144,48.0,66.0890,69.1690,68.0540
1,group D,some high school,1,0,55,47,44,146,48.666666666666664,66.0890,69.1690,68.0540
0,group E,some college,0,0,53,58,57,168,56.0,66.0890,69.1690,68.0540
1,group C,high school,0,0,61,60,55,176,58.666666666666664,66.0890,69.1690,68.0540
0,group A,associate's degree,0,0,37,57,56,150,50.0,66.0890,69.1690,68.0540
1,group B,some college,0,0,55,55,47,157,52.333333333333336,66.0890,69.1690,68.0540
0,group C,bachelor's degree,0,0,50,60,59,169,56.333333333333336,66.0890,69.1690,68.0540
1,group C,associate's degree,0,0,58,55,53,166,55.333333333333336,66.0890,69.1690,68.0540
1,group D,some college,1,0,55,58,52,165,55.0,66.0890,69.1690,68.0540
0,group D,some college,0,1,52,59,65,176,58.666666666666664,66.0890,69.1690,68.0540
0,group D,some high school,1,0,48,58,54,160,53.333333333333336,66.0890,69.1690,68.0540
0,group B,high school,1,0,62,62,63,187,62.333333333333336,66.0890,69.1690,68.0540
1,group D,some college,1,0,60,63,59,182,60.666666666666664,66.0890,69.1690,68.0540
1,group A,some college,0,0,58,60,57,175,58.333333333333336,66.0890,69.1690,68.0540
1,group B,high school,1,0,52,48,49,149,49.666666666666664,66.0890,69.1690,68.0540
1,group B,some college,1,0,66,65,60,191,63.666666666666664,66.0890,69.1690,68.0540
0,group B,some high school,0,0,49,58,55,162,54.0,66.0890,69.1690,68.0540
0,group C,some college,0,0,35,44,43,122,40.666666666666664,66.0890,69.1690,68.0540
0,group D,associate's degree,0,0,46,56,57,159,53.0,66.0890,69.1690,68.0540
0,group C,associate's degree,1,1,52,59,62,173,57.666666666666664,66.0890,69.1690,68.0540
0,group B,some high school,1,1,32,51,44,127,42.333333333333336,66.0890,69.1690,68.0540
0,group B,some college,1,0,19,38,32,89,29.666666666666668,66.0890,69.1690,68.0540
0,group C,master's degree,0,0,52,65,61,178,59.333333333333336,66.0890,69.1690,68.0540
0,group B,high school,1,0,48,62,60,170,56.666666666666664,66.0890,69.1690,68.0540
0,group B,high school,1,0,42,52,51,145,48.333333333333336,66.0890,69.1690,68.0540
0,group C,associate's degree,1,0,52,55,57,164,54.666666666666664,66.0890,69.1690,68.0540
0,group E,high school,0,0,41,45,40,126,42.0,66.0890,69.1690,68.0540
1,group B,bachelor's degree,1,0,59,54,51,164,54.666666666666664,66.0890,69.1690,68.0540
1,group A,some high school,1,0,51,31,36,118,39.333333333333336,66.0890,69.1690,68.0540
1,group A,high school,0,0,45,47,49,141,47.0,66.0890,69.1690,68.0540
0,group C,master's degree,1,1,54,64,67,185,61.666666666666664,66.0890,69.1690,68.0540
0,group A,bachelor's degree,1,0,45,59,64,168,56.0,66.0890,69.1690,68.0540
1,group E,some college,0,1,49,52,51,152,50.666666666666664,66.0890,69.1690,68.0540
0,group C,some high school,0,0,48,58,52,158,52.666666666666664,66.0890,69.1690,68.0540
1,group C,high school,1,0,62,67,58,187,62.333333333333336,66.0890,69.1690,68.0540
0,group A,some college,0,0,61,60,57,178,59.333333333333336,66.0890,69.1690,68.0540
1,group A,bachelor's degree,1,0,64,60,58,182,60.666666666666664,66.0890,69.1690,68.0540
1,group B,some college,1,0,58,50,45,153,51.0,66.0890,69.1690,68.0540
1,group B,associate's degree,0,1,58,57,53,168,56.0,66.0890,69.1690,68.0540
0,group D,high school,0,0,39,52,46,137,45.666666666666664,66.0890,69.1690,68.0540
1,group C,some high school,1,0,64,58,51,173,57.666666666666664,66.0890,69.1690,68.0540
0,group B,high school,0,1,23,44,36,103,34.333333333333336,66.0890,69.1690,68.0540
0,group D,some high school,0,1,40,65,64,169,56.333333333333336,66.0890,69.1690,68.0540
1,group D,high school,1,0,64,54,50,168,56.0,66.0890,69.1690,68.0540
0,group A,high school,1,0,61,68,63,192,64.0,66.0890,69.1690,68.0540
1,group C,some high school,1,0,62,64,55,181,60.333333333333336,66.0890,69.1690,68.0540
1,group B,high school,1,1,52,49,46,147,49.0,66.0890,69.1690,68.0540
0,group C,associate's degree,1,0,53,62,53,168,56.0,66.0890,69.1690,68.0540
1,group D,bachelor's degree,0,1,39,42,38,119,39.666666666666664,66.0890,69.1690,68.0540
1,group C,high school,0,0,59,53,52,164,54.666666666666664,66.0890,69.1690,68.0540
1,group B,associate's degree,1,0,61,42,41,144,48.0,66.0890,69.1690,68.0540
1,group C,associate's degree,0,0,49,51,51,151,50.333333333333336,66.0890,69.1690,68.0540
1,group B,high school,1,0,59,58,47,164,54.666666666666664,66.0890,69.1690,68.0540
0,group C,bachelor's degree,0,0,43,62,61,166,55.333333333333336,66.0890,69.1690,68.0540
