"simulated_date","revenue","num_of_transactions"
"2023-10-30",953.7355,4
"2023-05-13",941.3255,5
"2023-06-09",934.4055000000001,4
"2023-10-22",927.423,3
"2023-12-20",926.95,1
"2023-12-07",925.8794999999999,3
"2023-01-27",923.0129999999999,4
"2023-07-18",915.873,2
"2023-02-26",912.4080000000001,4
"2023-01-12",907.9350000000001,3
"2023-02-01",901.761,2
"2023-01-20",901.278,3
"2023-08-28",889.77,4
"2023-06-21",879.6690000000001,3
"2023-12-03",874.7555,3
"2023-09-14",874.377,4
"2023-07-20",874.356,2
"2023-01-15",867.615,1
"2023-04-24",864.518,3
"2023-04-10",863.751,4
"2023-04-03",857.4195000000001,4
"2023-05-16",845.817,3
"2023-01-10",838.52,2
"2023-11-01",833.049,2
"2023-11-27",830.1825,3
"2023-01-25",822.528,2
"2023-01-09",810.905,3
"2023-04-05",803.67,2
"2023-08-25",800.7194999999999,4
"2023-12-29",789.2429999999999,3
"2023-02-07",785.694,2
"2023-12-09",779.4889999999999,2
"2023-05-19",772.8,2
"2023-08-20",772.38,1
"2023-11-10",771.372,3
"2023-04-28",769.618,3
"2023-06-20",768.37,2
"2023-05-30",766.6365,3
"2023-10-02",763.319,2
"2023-04-08",745.71,2
"2023-03-09",745.395,1
"2023-10-24",734.0760000000001,1
"2023-02-23",724.563,2
"2023-02-13",717.4650000000001,3
"2023-07-31",717.14,3
"2023-07-08",714.326,1
"2023-10-10",708.225,2
"2023-07-19",702.251,3
"2023-10-18",695.3520000000001,2
"2023-10-27",688.1700000000001,3
"2023-06-22",683.8230000000001,4
"2023-02-11",681.44,1
"2023-02-28",679.7384999999999,3
"2023-08-15",674.94,2
"2023-02-21",657.258,2
"2023-03-22",654.5805,3
"2023-08-21",648.8580000000001,2
"2023-12-13",640.689,2
"2023-03-26",634.5885,4
"2023-10-28",629.843,1
"2023-05-24",629.013,3
"2023-11-04",625.0655,3
"2023-08-12",611.8770000000001,2
"2023-03-12",609.168,1
"2023-09-05",608.58,3
"2023-09-10",604.968,4
"2023-04-04",604.0125,4
"2023-03-24",600.779,2
"2023-09-26",595.0665,3
"2023-09-18",593.4495000000001,3
"2023-11-22",588.546,2
"2023-12-21",580.4195,3
"2023-07-21",576.146,2
"2023-09-22",558.379,2
"2023-05-07",558.3059999999999,2
"2023-10-01",557.5395000000001,3
"2023-10-29",557.183,4
"2023-09-16",557.1195,3
"2023-07-27",556.416,2
"2023-08-29",555.639,2
"2023-09-06",554.1585,2
"2023-08-09",551.7330000000001,2
"2023-05-11",542.241,2
"2023-12-31",540.256,2
"2023-01-24",538.923,3
"2023-04-22",535.836,2
"2023-08-27",533.001,4
"2023-11-30",531.669,4
"2023-02-10",523.845,1
"2023-02-25",514.091,2
"2023-01-03",510.615,1
"2023-02-06",509.2395,3
"2023-07-10",509.00849999999997,3
"2023-05-28",504.126,3
"2023-06-04",502.04699999999997,2
"2023-01-31",494.71799999999996,2
"2023-12-01",489.731,2
"2023-05-22",486.665,2
"2023-09-11",483.0945,2
"2023-05-21",480.06,2
"2023-03-05",480.029,1
"2023-11-14",472.31100000000004,3
"2023-05-02",468.426,2
"2023-03-16",466.242,3
"2023-06-17",462.87149999999997,2
"2023-10-06",461.54850000000005,3
"2023-09-15",455.595,2
"2023-05-04",455.16450000000003,4
"2023-07-15",448.812,2
"2023-02-12",435.057,2
"2023-10-31",429.2505,2
"2023-05-20",421.712,2
"2023-08-08",420.273,2
"2023-09-12",413.81600000000003,2
"2023-01-26",408.734,1
"2023-09-17",408.72299999999996,3
"2023-02-04",407.98800000000006,2
"2023-12-28",392.595,2
"2023-10-04",391.41900000000004,1
"2023-06-24",390.895,2
"2023-08-18",380.961,2
"2023-02-08",367.552,1
"2023-12-04",363.51,2
"2023-09-13",357.588,1
"2023-11-15",352.579,1
"2023-05-09",350.616,2
"2023-01-07",348.70500000000004,1
"2023-04-18",342.51,4
"2023-09-19",334.929,2
"2023-08-30",329.19599999999997,1
"2023-08-24",326.25600000000003,1
"2023-06-12",321.552,3
"2023-07-03",314.685,1
"2023-03-15",311.95500000000004,3
"2023-11-29",311.188,1
"2023-07-04",309.288,2
"2023-01-28",308.6585,2
"2023-03-17",307.345,2
"2023-03-08",295.69,1
"2023-09-01",294.75600000000003,2
"2023-07-14",293.643,1
"2023-09-20",293.601,2
"2023-10-05",291.438,1
"2023-03-18",289.464,4
"2023-02-22",288.351,2
"2023-01-06",285.789,2
"2023-03-30",281.16900000000004,1
"2023-05-08",280.035,1
"2023-06-25",279.38399999999996,1
"2023-09-02",276.51800000000003,2
"2023-01-22",275.9295,2
"2023-01-19",263.97,1
"2023-02-14",263.97,1
"2023-10-13",257.292,2
"2023-11-16",254.04749999999999,2
"2023-03-28",249.39600000000002,2
"2023-02-19",248.43,2
"2023-04-20",230.09699999999998,2
"2023-05-01",225.4035,2
"2023-12-24",224.4375,1
"2023-03-13",218.904,2
"2023-07-07",215.75399999999996,2
"2023-06-11",202.33499999999998,1
"2023-12-30",193.536,2
"2023-04-19",193.179,2
"2023-09-29",185.367,1
"2023-07-22",184.08599999999998,1
"2023-03-10",182.42700000000002,1
"2023-06-30",180.4005,1
"2023-12-02",178.3005,2
"2023-07-30",175.014,1
"2023-12-23",171.54899999999998,2
"2023-06-26",161.7,1
"2023-07-24",150.423,1
"2023-10-03",148.68,1
"2023-10-09",134.631,2
"2023-03-25",122.472,1
"2023-06-01",115.185,1
"2023-12-11",111.42599999999999,2
"2023-03-01",96.57900000000001,1
"2023-04-06",93.0405,1
"2023-01-14",86.625,1
"2023-06-07",84.977,1
"2023-04-11",82.887,1
"2023-04-30",74.45550000000001,1
"2023-12-06",71.52600000000001,1
"2023-11-08",65.7405,1
